row_index,stage1_failure_probability,stage2_confidence,shap_magnitude,predicted_failure_types,priority_score,priority_rank
8582,0.9984432,0.9978212,46.841647148132324,PWF,0.9984360810937133,1
8245,0.996757,0.9971432,46.551950454711914,PWF,0.9920128092091585,2
8307,0.99958855,0.9988262,46.32790279388428,PWF,0.9911411519089233,3
2444,0.9979797,0.9881793,45.24388551712036,PWF,0.9684198124442561,4
4600,0.99098784,0.9976398,43.46949768066406,HDF,0.9361053270379414,5
4755,0.9971975,0.9927084,42.6423077583313,HDF,0.9258888114786954,6
4495,0.9997683,0.9982413,42.288838386535645,HDF,0.9238595662908149,7
9664,0.99977213,0.9977646,42.265732765197754,OSF,0.9233279985218453,8
5399,0.98079246,0.99502397,42.731542110443115,OSF,0.9146109811543728,9
5706,0.9771618,0.97548306,42.73530149459839,PWF,0.9055379625318578,10
248,0.99981624,0.99746203,41.02390241622925,OSF,0.9025941395750321,11
249,0.9997824,0.9967368,40.62867021560669,OSF,0.8957579473195744,12
4661,0.9993381,0.99835795,40.496963024139404,HDF,0.8937099590956901,13
4618,0.9966132,0.99375904,40.61612367630005,HDF,0.8920054733087214,14
7997,0.98836946,0.98174804,40.69851303100586,PWF,0.8828172388977586,15
4565,0.96027356,0.9982352,41.66581869125366,HDF,0.8810030206840128,16
4270,0.998069,0.9985661,39.4920334815979,HDF,0.8760008809175623,17
4720,0.9385334,0.82206213,45.56450128555298,HDF,0.8725886661690683,18
380,0.98827225,0.9901252,39.595942974090576,PWF,0.8670172002378547,19
1391,0.9976306,0.9870935,38.72166347503662,PWF,0.8592041550330284,20
6497,0.9999602,0.99707794,38.265238761901855,OSF,0.8566633560926844,21
8846,0.98703647,0.9976889,38.47604274749756,OSF,0.8497362414154576,22
242,0.9954188,0.9978815,37.89316415786743,OSF,0.8469866202112835,23
4601,0.99932575,0.9814425,38.00941848754883,HDF,0.8469619387625817,24
4081,0.99729997,0.99614054,37.82732820510864,HDF,0.8468898168862521,25
9016,0.99088484,0.99256855,38.17443656921387,OSF,0.8462685445742515,26
4427,0.9971451,0.9746153,38.0192289352417,HDF,0.8431832598431009,27
4080,0.99780124,0.9941468,37.60744762420654,HDF,0.8430139180400671,28
3935,0.9994168,0.9576221,38.19091081619263,"HDF, PWF, OSF",0.8425620662358889,29
4179,0.99624604,0.99582845,37.57014989852905,HDF,0.8416431084839222,30
9414,0.9914772,0.9936865,37.81473398208618,OSF,0.8411189439439977,31
6078,0.9992939,0.99765366,37.32465696334839,OSF,0.8406370689968943,32
4170,0.97695005,0.993417,38.48653793334961,HDF,0.8402711053335605,33
926,0.9972728,0.9959168,37.3786735534668,OSF,0.8393275081309692,34
4342,0.9679261,0.98979574,38.7469162940979,"HDF, PWF",0.8360447588734536,35
4727,0.99950445,0.8003003,40.242390155792236,HDF,0.8272787415135165,36
9830,0.97502625,0.9936865,37.54124164581299,OSF,0.8230356974981787,37
5391,0.8121561,0.9381606,46.25806713104248,TWF,0.8167344184612682,38
3794,0.98714626,0.99357224,36.00987148284912,HDF,0.807472344971849,39
4449,0.9976909,0.91666543,36.79801321029663,HDF,0.8050633363271401,40
7677,0.9701656,0.9844714,36.850557804107666,OSF,0.8046390411698245,41
3806,0.8605444,0.9927166,41.64175748825073,HDF,0.7968442520506906,42
844,0.8887771,0.954923,40.276949405670166,TWF,0.7854478106527427,43
4130,0.98872197,0.95156103,35.23652410507202,HDF,0.7826718766022785,44
5489,0.87454104,0.9590693,40.73330593109131,TWF,0.7826421397023426,45
327,0.97247463,0.98993623,35.2361102104187,OSF,0.7813793648469753,46
4231,0.95636714,0.99675745,35.668293476104736,HDF,0.7774738642007326,47
4544,0.9997739,0.98472285,33.24415946006775,HDF,0.7690272761660402,48
4258,0.8755048,0.9893092,37.58467197418213,HDF,0.7405305935125261,49
6540,0.90279776,0.968926,36.573588848114014,PWF,0.7397295154227708,50
4120,0.99444145,0.78310037,34.814876556396484,HDF,0.727340514485894,51
4632,0.84036404,0.9724662,37.389233112335205,"HDF, OSF",0.7030749765670702,52
8193,0.84019905,0.953818,37.56205701828003,TWF,0.6999479232837503,53
5270,0.9650494,0.30760676,43.16188907623291,none,0.6924943792109164,54
3814,0.8745013,0.9785821,34.02429914474487,HDF,0.677053648750536,55
4283,0.9982516,0.9071772,28.82227349281311,"HDF, OSF",0.6697524133558741,56
4078,0.8347581,0.98184776,32.7843656539917,HDF,0.6247515787236284,57
2080,0.8546101,0.6237272,34.91769218444824,"TWF, PWF",0.5638935917414428,58
1169,0.5777047,0.8256329,44.22387647628784,TWF,0.554632093487799,59
1833,0.7715301,0.95137435,31.37715721130371,OSF,0.539731830646284,60
7011,0.61348915,0.9849909,38.14208173751831,PWF,0.5329591691621207,61
5911,0.84767133,0.34538776,38.42589855194092,none,0.5289993187647772,62
5307,0.5882795,0.9045722,40.37899732589722,TWF,0.5241593675791507,63
6127,0.5622609,0.718284,42.38841915130615,PWF,0.4775891676507812,64
1418,0.88537896,0.045552254,38.74497079849243,none,0.47096409250421034,65
4296,0.51360357,0.8014251,33.30100965499878,"TWF, PWF",0.31244224815907756,66
6276,0.51903605,0.10392032,38.595250606536865,none,0.1855444479226647,67
